Название,Автор,Цена,Описание,Издательство,Год издания,Штрих-код,Количество страниц,Переплет,Размер,Толщина,Вес,Картина
Детское творчество. Лепка с детьми 4-5 лет,Колдина Д.,"В пособии представлены сценарии увлекательных занятий с детьми 4-5 лет по лепке из глины и пластилина в сочетании с разнообразными материалами. Занятия способствуют развитию эмоциональной отзывчивости, воспитанию чувства прекрасного развитию воображения, самостоятельности, настойчивости, аккуратности, трудолюбия, умения доводить работу до конца формированию умений и навыков в лепке. Занятия по этой книге можно проводить как с группой детей в детском саду, так и дома индивидуально.",2 200 тг,0,Мозаика-синтез,2015 г.,9785431506857,80,Мягкий,200 мм x 145 мм,150 г.,http://www.bookcity.kz/content/images/thumbs/5073387_1412738.jpeg
Детское творчество. Лепка с детьми 5-6 лет,Неизвестно,"В пособии представлены сценарии увлекательных занятий с детьми 5-6 лет по лепке из глины и пластилина в сочетании с разнообразными материалами. Занятия способствуют развитию эмоциональной отзывчивости, воспитанию чувства прекрасного развитию воображения, самостоятельности, настойчивости, аккуратности, трудолюбия, умения доводить работу до конца формированию умений и навыков в лепке. Занятия по этой книге можно проводить как с группой детей в детском саду, так и дома индивидуально.",2 200 тг,0,Мозаика-синтез,2016 г.,9785431507557,88,Мягкий,200 мм x 145 мм,140 г.,http://www.bookcity.kz/content/images/thumbs/5109509_1438919.jpeg
Детское творчество. Лепка с детьми 6-7 лет,Неизвестно,"В пособии представлены сценарии увлекательных занятий с детьми 6-7 лет по лепке из глины, теста и пластилина в сочетании с разнообразными материалами. Занятия способствуют формированию умений и навыков в лепке развитию эмоциональной отзывчивости, воображения, самостоятельности, настойчивости, аккуратности, трудолюбия, умения доводить работу до конца воспитанию чувства прекрасного. Занятия по этой книге можно проводить как с группой детей в детском саду, так и дома индивидуально.",2 600 тг,0,Мозаика-синтез,2016 г.,9785431506826,96,Мягкий,200 мм x 145 мм,120 г.,http://www.bookcity.kz/content/images/thumbs/5109511_1438920.jpeg
Детское творчество. Мастерим с детьми 3-4 лет,Неизвестно,"Пособие посвящено обучению детей 3-4 лет аппликации из бросовых и природных материалов, пластилина, цветной бумаги. Описанная методика ориентирована на минимизацию вмешательства взрослого в обучение, что способствует раскрытию творческого потенциала ребенка. Занятия помогают развитию мелкой моторики. Создавая поделки, дети учатся обращать внимание на красоту, гармонию животного и растительного мира, бережно относиться к природе. Занятия по этой книге можно проводить как с группой детей в детском саду, так и дома индивидуально.",2 000 тг,0,Мозаика-синтез,2016 г.,9785431509667,48,Мягкий,200 мм x 145 мм,115 г.,http://www.bookcity.kz/content/images/thumbs/5102356_1438867.jpeg
Детское творчество. Рисование с детьми 2-3 лет,Колдина Д.,"В данном пособии представлены нетрадиционные техники рисования, которые как нельзя лучше подходят для занятий с детьми 2-3 лет. Пять минут - и работа готова! А это как раз то, что нужно малышам, которые в силу своих возрастных особенностей довольно неусидчивы и нетерпеливы. Занятия по этому пособию можно проводить как с группой детей в детском саду, так и дома индивидуально.",2 200 тг,0,Мозаика-синтез,2015 г.,9785431507564,80,Мягкий,200 мм x 145 мм,150 г.,http://www.bookcity.kz/content/images/thumbs/5073309_1412649.jpeg
Детское творчество. Рисование с детьми 3-4 лет,Неизвестно,"В пособии представлены конспекты увлекательных занятий с детьми 3-4 лет по рисованию цветными карандашами, гуашью и акварельными красками традиционными и нетрадиционными способами. Занятия способствуют развитию эмоциональной отзывчивости, воспитанию чувства прекрасного развитию воображения, самостоятельности, настойчивости, аккуратности, трудолюбия, умения доводить работу до конца формированию изобразительных умений и навыков. Книга адресована педагогам дошкольных образовательных учреждений, гувернерам и родителям.",2 200 тг,0,Мозаика-синтез,2016 г.,9785431507991,72,Мягкий,200 мм x 145 мм,150 г.,http://www.bookcity.kz/content/images/thumbs/5092650_1430565.jpeg
Детское творчество. Рисование с детьми 4-5 лет,Неизвестно,"В пособии представлены сценарии увлекательных занятий с детьми 4-5 лет по рисованию цветными карандашами, гуашью и акварельными красками традиционными и нетрадиционными способами. Занятия способствуют развитию эмоциональной отзывчивости, воспитанию чувства прекрасного развитию воображения, самостоятельности, настойчивости, аккуратности, трудолюбия, умения доводить работу до конца формированию изобразительных умений и навыков. Занятия по этой книге можно проводить как с группой детей в детском саду, так и дома индивидуально.",2 200 тг,0,Мозаика-синтез,2016 г.,9785431506864,72,Мягкий,200 мм x 145 мм,160 г.,http://www.bookcity.kz/content/images/thumbs/5092652_1430568.jpeg
Детское творчество. Рисование с детьми 5-6 лет,Неизвестно,"В пособии представлены конспекты увлекательных занятий с детьми 5-6 лет по рисованию цветными карандашами, гуашью и акварельными красками традиционными и нетрадиционными способами. Занятия способствуют развитию эмоциональной отзывчивости, воспитанию чувства прекрасного развитию воображения, самостоятельности, настойчивости, аккуратности, трудолюбия, умения доводить работу до конца формированию изобразительных умений и навыков. Занятия по этой книге можно проводить как с группой детей в детском саду, так и дома индивидуально.",2 400 тг,0,Мозаика-синтез,2016 г.,9785431506871,128,Мягкий,200 мм x 145 мм,240 г.,http://www.bookcity.kz/content/images/thumbs/5102365_1438876.jpeg
Домашний логопед,Светлова И.Е.,"Заботливые мамы малышей с нетерпением ждут первых слов своих деток. Но первая радость от общения очень скоро сменяется тревогой и переживаниями - а скоро ли мой ребенок будет говорить правильно? Научить ребенка произносить все звуки родного языка - очень важно. Четкое и внятное произношение показывает, что ребенок правильно понимает то, что ему говорят, находит общий язык со сверстниками и взрослыми, успешно овладевает грамотой. Плохо говорящие дети постепенно начинают осознавать свой недостаток, становятся замкнутыми и застенчивыми. В этой книге вы найдете эффективную программу самостоятельных занятий родителей с ребенком - задания и упражнения по звукопроизношению. Игры и загадки, скороговорки и небольшие стихи с яркими рисунками - вы непременно научите ребенка произносить звуки и слова правильно!",6 000 тг,0,Эксмо,2010 г.,9785699420339,256,Твердый,20 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5073295_1412636.jpeg
"Занимаемся, празднуем, играем: сценарии совместных мероприятий с родителями","Кандала Т.И., Семкова О.А.","Представленные в пособии совместные занятия, праздники, спортивные и интеллектуальные развлечения для дошкольников и их родителей помогут в игровой, занимательной форме раскрыть таланты детей и взрослых, обогатить жизненный опыт малышей, сформировать единый сплоченный коллектив, укрепить семейные связи через общее творчество, тем самым успешно решить поставленные ФГТ задачи взаимодействия педагогического коллектива дошкольного учреждения и родителей воспитанников. Адресовано методистам, воспитателям, музыкальным руководителям и инструкторам по физическому воспитанию ДОУ полезно педагогам центров детского творчества.",1 000 тг,0,Учитель,2014 г.,9785705744916,144,Мягкий,200 мм x 145 мм,100 г.,http://www.bookcity.kz/content/images/thumbs/5109068_1438787.jpeg
Звенелочка. Логопедические игры. Рабочая тетрадь,"Баскакина И.В., Лынская М.И.","В тетради представлены занимательные авторские игры для развития всех сторон речи детей дошкольного возраста. Предложен материал для автоматизации правильного произношения трудного звука 3. Особенностью тетради является оригинальный подбор языкового, речевого и дидактического материала, исключающий использование в словах оппозиционных звуков. Пособие поможет сформировать у детей навыки звукового анализа и синтеза, что подготовит их к овладению письменной речью. Особое внимание уделено развитию лексико-грамматической стороны речи и обучению связному высказыванию. Задания на развитие мелкой моторики помогут подготовить руку ребенка к письму. Родителям, логопедам и воспитателям для развивающих занятий с детьми.",600 тг,0,Айрис,2017 г.,9785811261727,32,Мягкий,240 мм x 170 мм,175 г.,http://www.bookcity.kz/content/images/thumbs/5024070_1343681.jpeg
Здоровье. Физическое развитие. Утренняя гимнастика в детском саду. 2-3 года,Неизвестно,"В пособии содержатся комплексы утренней гимнастики для детей 2-3 лет, упражнения и игры для пальчиковой и дыхательной гимнастики, игровые упражнения, игры-забавы. Книга адресована инструкторам по физической культуре, воспитателям дошкольных учреждений, родителям, гувернерам.",2 300 тг,0,Мозаика-синтез,2016 г.,9785431509223,104,Мягкий,200 мм x 145 мм,160 г.,http://www.bookcity.kz/content/images/thumbs/5102361_1438872.jpeg
Знакомим дошкольников с правилами дорожного движения (3-7 лет). ФГОС,Неизвестно,"Настоящее пособие издано в рамках учебно-методического комплекта к пример­ной общеобразовательной программе дошкольного образования ОТ РОЖДЕНИЯ ДО ШКОЛЫ под редакцией Н.Е.Вераксы, Т.С.Комаровой, М.А.Васильевой. В пособии представлены основные направления работы по ознакомлению до­школьников 3-7 лет с правилами дорожного движения, конспекты занятий, игры, лите­ратурный и другой дополнительный материал. Книга адресована педагогам дошкольных образовательных учреждений, методис­там по дошкольному воспитанию, а также родителям.",1 600 тг,0,Мозаика-синтез,2016 г.,9785431504679,120,Мягкий,240 мм x 170 мм,206 г.,http://www.bookcity.kz/content/images/thumbs/5109626_1438896.jpeg
Золотая хохлома,Неизвестно,"Серия наглядно-дидактических пособий ""Народное искусство-детям"" предназначена для групповых и индивидуальных занятий с детьми 3-7 лет. Наглядный материал знакомит детей с основными народными промыслами. Пособия дают представления о цветовой гамме, орнаментах, узорах, форме, а также об основных сюжетах в работах народных мастеров. Наглядный материал может быть с успехом использован на занятиях по изобразительной деятельности, по ознакомлению с окружающим миром и др.",1 500 тг,0,Мозаика-синтез,2015 г.,9785431506307,8,Мягкий,5 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5100809_1437450.jpeg
Играют девочки. Гендерный подход в образовании,Лыкова И.,"Как играют девочки? Какие игры и игрушки они предпочитают? Каковы особенности этих неизменных ""спутников детства""? Как в своих свободных играх девочки общаются друг с другом, мальчиками и взрослыми? Какую роль выполняют сюжетно-ролевые игры и игровые предметы, в т.ч. рукотворные игрушки, в становлении тендерного сознания и поведения девочек? И какое влияние оказывают на их общее развитие? Учебно-методическое пособие дает ответы на эти и многие другие вопросы, связанные с реализацией тендерного подхода в воспитании детей старшего дошкольного возраста. А также предлагает новые игровые модели и образовательные технологии, направленные на создание развивающей предметно-пространственной среды. Книга рекомендуется воспитателям, гувернерам, педагогам семейных и частных детских садов, учителям начальной школы, специалистам системы дополнительного образования. Будет интересна родителям, бабушкам и дедушкам.",2 200 тг,0,Цветной мир,2013 г.,9785431001024,96,Мягкий,240 мм x 170 мм,175 г.,http://www.bookcity.kz/content/images/thumbs/5106753_1443077.jpeg
Игровая деятельность в детском саду (2-7 лет). ФГОС,Неизвестно,"Пособие издано в рамках учебно-методического комплекта к примерной общеобразовательной программе дошкольного образования ""От рождения до школы"" под редакцией Н.Е.Вераксы, Т.С.Комаровой, М.А.Васильевой. В пособии представлены программа и методические рекомендации по руководству игровой деятельностью детей 2-7 лет. В каждой возрастной группе определены виды, задачи и содержание работы с детьми, приведены примеры игр и упражнений. Книга адресована широкому кругу работников дошкольного образования, а также студентам педагогических колледжей и вузов.",1 600 тг,0,Мозаика-синтез,2016 г.,9785431505553,128,Мягкий,240 мм x 170 мм,230 г.,http://www.bookcity.kz/content/images/thumbs/5102410_1438921.jpeg
Игрушки и подарки из природного материала,Лыкова И.,"Учебно-методическое пособие раскрывает современный взгляд на конструирование из природного материала как вид детской дизайн-деятельности - экопластику. Поможет создать творческие ситуации и организовать образовательные проекты для конструирования детьми оригинальных игрушек, подарков, сувениров, предметов интерьера из различных природных материалов (шишек, желудей, ракушек, осенних листьев, соломки, глины, соленого теста и др.). Включает практические материалы в форме мастер-классов, технологических карт, иллюстраций, фотографий.    Книга адресована родителям, воспитателям дошкольных образовательных организаций, учителям начальной школы, педагогам дополнительного образования. Будет полезна в работе частного и семейного детского сада.",2 000 тг,0,Цветной мир,2014 г.,9785431002373,144,Мягкий,240 мм x 170 мм,200 г.,http://www.bookcity.kz/content/images/thumbs/5106796_1443120.jpeg
