Название,Автор,Цена,Описание,Издательство,Год издания,Штрих-код,Количество страниц,Переплет,Размер,Толщина,Вес,Картина
"12 недель в году. Как за 12 недель сделать больше, чем другие успевают за 12 месяцев","Моран Б., Леннингтон М.","В начале каждого года мы полны задумок и планов, но, как показывает опыт, не всегда способны им следовать. Авторы предлагают свой способ исполнения задуманного: год, состоящий из 12 недель. Такой подход поможет вам сохранить мотивацию и действовать решительнее. Подсказки и практические задания направлены на то, чтобы перестроить мышление и стать успешным.",7 500 тг,5,"Манн, Иванов и Фербер",2019 г.,9785001462163,Твердый,15 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132047_1464406.jpeg
12 принципов лидерского превосходства,"Трейси Б., Чи П.","Автор многочисленных бестселлеров и эксперт в вопросах мотивации Брайан Трейси объединил усилия с известным специалистом в области подготовки лидеров Питером Чи, чтобы познакомить читателей с простыми принципами, которые помогут вам осуществить устойчивые позитивные перемены в своей организации. Для широкого круга читателей.",4 200 тг,1,Попурри,2014 г.,9789851520400,272,Твердый,200 мм x 145 мм,340 г.,http://www.bookcity.kz/content/images/thumbs/4276103_1362851.jpeg
12 шагов к гибкому бизнесу,Шонесси Г.,"Эта книга - отличный справочник по Agile. Авторы предлагают прозрачный план действий для придания бизнесу гибкости, для того чтобы быть конкурентоспособным в сложных современных условиях цифровых преобразований.
Суть гибкости состоит в возможности создавать новые модели поведения и мышления во всей организации. Вам предложат минималистичный, но при этом результативный план действий, необходимый для изменения способов работы в организации и создания благоприятной среды для экспериментирования и обучения. Уроки, способы и инструменты, рассмотренные в книге, будут являться эффективным руководством для того, чтобы вы преуспели в путешествии к более высокой производительности и лучшим результатам.
Издание будет полезно всем специалистам в области информационных технологий, руководителям бизнес-подразделений и владельцам компаний.",12 800 тг,0,"ДМК Пресс, Cleverics",2019 г.,9785970607435,14 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5131733_1464096.jpeg
"150 драйверов роста прибыли, или как увеличить бизнес в 10 раз","Кузнецов Д.В., Терехов Ю.В.","Как увеличить прибыль предпринимателя в 3 - 10 раз, ежедневно совершая простые действия. ""Мой бизнес я организовал с 200 долларов в кармане, не было богатого и мудрого дяди, который помогал бы деньгами и знаниями. Пришлось самостоятельно во всём разобраться, наделать кучу ошибок, дважды чуть не потерять бизнес. И в итоге стать №1 в рынке"". Денис Кузнецов Это азбука простых действий, сделав которые ты увеличишь свой доход в 10 раз. ""Бизнес состоит из множества простых действий, которые ведут к результату. Сейчас очень многие предлагают волшебные Таблетки , обычно они классно выглядят, но не дают результата. Все действия в этой книге я пропустил через свой бизнес, отсеив то что действительно даёт результат"". Юрий Терехов Авторы книги сами прошли весь путь, который проходят все начинающие предприниматели, и на своих примерах и реальных историях своих учеников рассказывают о том, как развить и увеличить в несколько раз свой бизнес в самые короткие сроки и каких ошибок необходимо избегать. Авторы имеют: ? Суммарный оборот бизнесов более 600 миллионов рублей ? 2 производственных предприятия и 1 интернет стартап ? 32 года собственного предпринимательского опыта ? трижды победители ""Битвы тренеров"" ? более 500 учеников ? суммарное увеличение доходов учеников более чем на 300 миллионов рублей — 150 драйверов, которые гарантированно заставят твой бизнес вырасти — Только реальный опыт и истории, никакой теории — Мощный заряд, который заставит тебя идти вперед У Дениса и Юрия получился дайджест из 150 драйверов. Такой формат подходит для тех, кто хочет разложить по полочкам свои знания, вспомнить важные ингредиенты ведения бизнеса. Но не обольщайтесь легкостью формата. За каждым пунктом стоит глубина и опыт. Вчитывайтесь внимательно в каждый пункт и старайтесь его осмыслить. Тогда вы заметите, что книга стала в разы объемнее и многограннее. Павел Гительман, основатель рекламного агентства RTA и Школы Креативного Маркетинга Павла Гительмана Рад что мои друзья Денис и Юра нашли время написать книгу. Книга для предпринимателей, которые хотят фишек от практиков. Я знаю ребят давно. Еще при знакомстве я подметил что они сильны в автоматизации и статиках. У них уже несколько лет назад были внедрены программы, которые ускоряли все бизнес процессы. Всем, кто хочет быть наголову выше конкурентов рекомендую прочитать и внедрить. Успехов! Максим Гральник , основатель компаний Gralnik Лицензирование и Suntegy.com",6 100 тг,4,Эксмо,2018 г.,9785040981441,336,Твердый,240 мм x 170 мм,501 г.,http://www.bookcity.kz/content/images/thumbs/5127379_1459869.jpeg
17 главных миллиардеров XX века,Гёмёри Э.,"?Ротшильды, Рокфеллеры, Крупп, Мицуи, Форд, Дассо, Онассис... Семнадцать историй о тех, кто в середине прошлого века входил в топ-10 сверхбогачей мира и навечно утратил свои позиции в современном списке миллиардеров. Причина в том, что за прошедшие 50 лет путь к сверхбогатству радикально изменился. Книга рассказывает о том, как зарабатывали миллиарды и становились тайными хозяевами мира в XX веке.",3 300 тг,3,Эксмо,2017 г.,9785906995070,304,Твердый,200 мм x 130 мм,230 г.,http://www.bookcity.kz/content/images/thumbs/5112450_1445856.jpeg
1С:Предприятие 8.3 Бухгалтерия для Казахстана. КАДРОВЫЙ УЧЕТ. Самоучитель + CD,"Проскурина В.П., Денисенко М.В.",Неизвестно,4 400 тг,5,Лем,2019 г.,9786012395235,Мягкий,10 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5123108_1455842.jpeg
"20 ошибок, которые разрушают вашу жизнь, и как их избежать","Роуч М., Норбеков М.С.","Все люди мира совершают ошибки – большие и маленькие, серьезные и незначительные… И все они обычно тратят много времени на то, чтобы их скрыть, поскольку каждый хочет, чтобы думали о нем хорошо. Мы забываем свои и замечаем чужие ошибки, но не извлекаем из них пользы для себя, важного жизненного урока.В этой книге каждый из нас хочет поделиться с вами десятью Самыми Большими Ошибками, которые были в нашей долгой жизни. И хотя они многому научили нас, заставили изменить свое отношение к жизни, показали новые пути и возможности для развития – тем не менее они БЫЛИ… У вас же сейчас есть уникальная возможность выйти на новый жизненный уровень, приняв во внимание наши ошибки и прислушавшись к советам и рекомендациям.",4 200 тг,5,АСТ,2018 г.,9785171057619,320,Твердый,215 мм x 145 мм,375 г.,http://www.bookcity.kz/content/images/thumbs/5117265_1450192.jpeg
27 книг успешного руководителя,Логунов С.,27 книг успешного руководителя,5 300 тг,2,Эксмо,2018 г.,9785699941407,224,Твердый,20 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5101024_1437649.jpeg
36 стратагем для менеджеров,Зенгер фон Харро,"Эта книга впервые издается на русском языке. Она посвящена малоизвестной российскому читателю теме - искусству хитрости, которое родилось и много веков культивируется в Китае и которое является тайной за семью печатями для европейцев. Ее автор - известный китаевед, ведущий западный исследователь в области учения о стратагемах. В своей книге он впервые представил все 36 стратагем. Книга предназначена, прежде всего, для менеджеров и других участников бизнеса. Вместе с тем она, несомненно, вызовет интерес широкого круга читателей.",5 100 тг,0,Олимп-Бизнес,2017 г.,9785969303669,224,Твердый,215 мм x 145 мм,370 г.,http://www.bookcity.kz/content/images/thumbs/5116274_1449218.jpeg
4 правила успешного лидера,Кови С.,"Цитата ""Эти правила стоят того, чтобы применять их в жизни, они пойдут на пользу вашей карьере, семье и компании"". Стивен Кови О чем книга Каждая организация и каждый лидер стремятся к успеху. Но почему же тогда достичь его удается лишь немногим? Все дело в том, что зачастую лидеры исповедуют старомодные, отжившие свое подходы к лидерству. Между тем по-настоящему успешные лидеры не только иначе смотрят на мир, они и действуют иначе. Стивен Кови дает простые в применении, конкретные стратегии, которые помогут вам изменить ваше поведение в качестве лидера. Используя эти инструменты, вы заметите, как улучшится мотивация ваших подчиненных и повысится продуктивность вашей работы. Почему книга достойна прочтения - В ней даны простые в применении, конкретные стратегии, которые помогут вам изменить ваше поведение в качестве лидера. - Вы поймете, как улучшить мотивация ваших подчиненных и повысить продуктивность вашей работы. ...",3 900 тг,4,Альпина Паблишер,2019 г.,9785961444353,138,Твердый,215 мм x 145 мм,279 г.,http://www.bookcity.kz/content/images/thumbs/4115148_1346972.jpeg
45 татуировок личности. Правила моей жизни,Батырев М.,"Жизненные уроки бывают жесткими, и многие из них навсегда врезаются в сердце и сознание, словно татуировки. 45 своих «татуировок», ставших правилами жизни, открывает для нас Максим Батырев, успешный менеджер и бизнес-тренер. Из каждого эпизода своей жизни он выводит правила взаимодействия с миром, с семьей, с самим собой – и все удачи и даже неудачи складываются в картину того, как в любой ситуации оставаться собой и шагать все выше по лестнице саморазвития.Наверняка многие из этих жизненных правил применимы в вашей жизни. И наверняка вам есть чем дополнить их.",7 900 тг,4,"Манн, Иванов и Фербер",2018 г.,9785001178392,Твердый,22 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5126350_1458878.jpeg
45 татуировок менеджера. Правила российского руководителя,Батырев М.,"Татуировка - это надпись на всю жизнь. Важная надпись. Названия глав в этой книге - татуировки, оставшиеся в памяти и сердце менеджера, его житейский и организаторский опыт. Это правила о том, как относиться к коллегам, каким образом действовать в определенных ситуациях: свод принципов, которым стоит следовать, если хочешь добиться успеха. Почему? Потому что за каждой главой стоят осмысленные действия, чья-то боль, мучения, радости, удачный и неудачный опыт, подъемы и падения, увольнения и лидерство, а главное - нужный результат. Фишки книги Авторские татуировки-правила написаны не просто на разных частях тела: на лбу, на плечах, на спине. Они отпечатались в его менеджерском сердце. Искренне и честно. Каждая буква. Для кого эта книга Для тех, кто любит и хочет добиваться успеха. Почему мы решили издать эту книгу Отечественная практика управленца заслуживает именно такой книги. Опыт автора настолько близок большинству менеджеров, а...",7 400 тг,5,"Манн, Иванов и Фербер",2018 г.,9785916578256,304,Твердый,240 мм x 170 мм,551 г.,http://www.bookcity.kz/content/images/thumbs/3307383_1338752.jpeg
45 татуировок продавана. Правила для тех кто продаёт и управляет продажами,Батырев М.,"О книге Новые 45 татуировок из продавцового прошлого Максима Батырева - как в роли рядового менеджера по продажам, так и в роли руководителя: успехи, неудачи, выводы из них. Одна из самых непростых и в то же время интересных профессий - это профессия человека, который ежедневно, ежечасно и ежеминутно защищает интересы организации, проводя коммерческие переговоры с её потенциальными заказчиками и будущими партнерами. Максим Батырев уверен: все, чего он достиг в своей профессиональной деятельности, он достиг благодаря работе в продажах. Продажи учат защищать свои интересы, выступать публично, вести переговоры с клиентами, делать своими руками презентации, внятно формулировать свои мысли и многому другому. Продажи делают людей сильными. Если вы научитесь продавать товары с не самой очевидной выгодой на одном из самых высококонкурентных рынков, то вам по плечу будут практически любые бизнес-задачи. В своей новой книге Максим рассказывает о 45 татуировках продавца,...",7 900 тг,5,"Манн, Иванов и Фербер",2018 г.,9785001004790,336,Твердый,240 мм x 170 мм,665 г.,http://www.bookcity.kz/content/images/thumbs/5098137_1436098.jpeg
450 лет лидерства: Технологический расцвет Голландии в XIV-XVIII вв. и что за ним последовало,Дэвидс К.,"Инновации и прогресс - важный раздел экономической истории и истории технологий. В этой книге Карел Дэвидс провел глубокий анализ вопроса технологического лидерства на примере истории Голландской республики, которая считается первой современной экономикой. Изучив огромное количество европейских архивных материалов, печатных источников и побочной литературы, Дэвидс предлагает широкий обзор голландского технологического прогресса в Европе, от высокого Средневековья до раннего Нового времени, объясняет весь процесс подъема и спада и распространяет случай Голландии на эволюцию технологического лидерства в целом.
Книга ""450 лет лидерства: Технологический расцвет Голландии в XIV-XVIII вв. и что за ним последовало"" будет интересна всем, кто хочет узнать больше о развитии технологий в ранний период Новой истории, проследить связь между технологическими изменениями и экономическим подъемом Голландской республики, а также взглянуть на ситуацию в Нидерландах в начальный период Новой истории в более широкой перспективе.",9 500 тг,0,Альпина Паблишер,2019 г.,9785604232026,Твердый,39 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5130405_1462797.jpeg
50 секретов гениального Успеха,Латанский Н.,"За десять лет успешной карьеры в бизнесе эксперта Николай Латанский выделил 50 уникальных секретов для достижения гениального успеха и объединил их в книгу, которую вы держите в руках. Эта книга научит вас тому, как жить счастливой, реализованной и богатой жизнью. Секреты успеха подобны коду сейфа. Только когда вы знаете и соблюдаете каждый из них, перед вами открываются любые двери!",8 200 тг,2,Бренд Бук Паблишинг,2017 г.,9786177426119,Твердый,15 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5116284_1449228.jpeg
