"Название","Автор","Цена","Описание","Издательство","Год издания","Штрих-код","Количество страниц","Переплет","Размер","Толщина","Вес","Картина"
"200 базовых китайских иероглифов. Флеш-карточки","Карлова М Э","Неизвестно","5 100 тг","5","Питер","2018 г.","9785001161448","80 мм x 80 мм","55 мм","210 г.","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5120909_1453717.jpeg"
"200 первых слов по-английски","Ачасова К.Э.","Это пособие станет незаменимым помощником для тех, кто решил приступить к изучению английского языка с нуля. Оно поможет вам быстро запомнить и научиться употреблять самые популярные слова, которые скомпонованы по темам и сопровождаются простыми рисунками и примерами, что позволяет включить зрительную память и ускорить запоминание.","2 600 тг","5","Попурри","2017 г.","9789851530713","80","Мягкий","5 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5112757_1446101.jpeg"
"2000 наиболее употребительных английских слов и выражений. Тематический словарь","Пронькина В.М.","Тематический словарь содержит около 2000 наиболее употребительных слов и выражений английского языка. Это лексический минимум, необходимый для полноценного общения на иностранном языке. Тематический принцип построения словаря позволяет быстро найти нужное слово и значительно пополнить словарный запас по той или иной теме за короткое время. Пособие предназначено для широкого круга лиц, изучающих английский язык на курсах или самостоятельно.","500 тг","5","Айрис","2019 г.","9785811255542","96","Мягкий","140 мм x 100 мм","35 г.","http://www.bookcity.kz/content/images/thumbs/5068547_1408252.jpeg"
"2-DAY DIET COOKBOOK","Неизвестно","The 2-Day Diet is the clinically proven 5:2 diet developed by acclaimed scientists Dr Michelle Harvie and Prof Tony Howell at Genesis Breast Cancer Prevention (all author proceeds go to this charity). Their intermittent diet has taken the nation by storm as more and more people discover the diet that really works. It’s not about counting calories, fasting or going hungry – simply follow the straightforward low-carb eating plan for two days per week then eat normally but sensibly for the other five. In this beautifully illustrated cookbook, you’ll find 65 delicious, healthy recipes for every day of the week, with ideas for both restricted and unrestricted days. On The 2-Day Diet you can enjoy filling, tasty food all day long - from breakfast through to dinner - and still lose more weight and up to twice as much fat as on a standard calorie-controlled diet. You will also benefit from a wide range of health benefits associated with the diet, such as reducing insulin and levels of other...","9 900 тг","0","Vermilion","2013 г.","9780091954680","Мягкий","1 мм x 1 мм","15 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5079959_1418843.jpeg"
"3000 наиболее употребительных слов и выражений итальянского языка","Дулина Н.","Словарь-справочник содержит свыше 3000 наиболее употребительных слов и словосочетаний итальянского языка. Включает тематический словарь, контекстный словарь и фонетико-грамматический справочник.  Для широкого круга читателей.","2 300 тг","5","Попурри","2009 г.","9789851507333","352","Мягкий","165 мм x 107 мм","154 г.","http://www.bookcity.kz/content/images/thumbs/5041064_1366594.jpeg"
"31 songs","Хорнби Н.","Through thirty-one songs that he either loves or has loved, Nick Hornby tell us what music means to his life. These personal and passionate pieces - refreshingly free of pretension - are a celebration of the joy that certain songs have given him. Together with additional writings on music from his column in the New Yorker - seen in the UK for the first time - ""31 Songs"" is for Hornby what many of us have always wanted: a soundtrack to accompany life.-","2 700 тг","1","Harper Collins","2007 г.","9782264037480","224","Мягкий","18 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5059991_1340507.jpeg"
"500 наиболее употребимых прилагательных английского языка. Тематические карточки","Неизвестно","С помощью этих карточек вы быстро овладеете наиболее употребительными английскими прилагательными. Перед тем как отправиться в ресторан, в отель, за покупками, пролистайте карточки по интересующей вас теме, и вы почувствуете себя намного увереннее. Мы рекомендуем учить слова двумя способами. Сначала посмотрите на английскую сторону карточки, прочитайте слово и попытайтесь вспомнить его значение. Если вспомнить перевод не удается, обратитесь к примеру употребления или посмотрите на обратную сторону карточки и отложите ее в стопочку для повторения. Когда вы сможете вспомнить перевод каждого прилагательного, переверните стопку карточек и попробуйте перевести русские прилагательные на английский язык! Размер карточки: 7 см х 4,2 см. Размер коробки: 15,5 см х 7,5 см х 4,7 см.","4 300 тг","5","Айрис","2018 г.","9785811247936","500","Прочий","75 мм x 158 мм","315 г.","http://www.bookcity.kz/content/images/thumbs/5022729_1392151.jpeg"
"500 наиболее употребимых существительных английского языка","Неизвестно","С помощью этих карточек вы быстро овладеете наиболее употребимыми английскими существительными. Мы рекомендуем учить слова двумя способами. Сначала посмотрите на английскую сторону карточки, прочитайте слово и попытайтесь вспомнить его значение. Если вспомнить перевод не удается, обратитесь к примеру употребления или посмотрите на оборотную сторону карточки, а затем отложите ее в стопочку для повторения. Когда вы сможете вспомнить перевод каждого существительного, переверните стопку карточек и попробуйте перевести русские существительные на английский язык! Карточки с транскрипцией.","4 700 тг","5","Айрис","2018 г.","9785811246205","500","Твердый","48 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5072709_1412170.jpeg"
"500 наиболее употребительных выражений английского языка","Неизвестно","С помощью этих карточек вы быстро овладеете наиболее употребительными выражениями английского языка. Мы рекомендуем учить выражения двумя способами. Сначала посмотрите на английскую сторону карточки, прочитайте диалог и попытайтесь вспомнить его значение. Если вспомнить перевод не удается, обратитесь к примеру употребления или посмотрите на оборотную сторону карточки, а затем отложите ее в стопочку для повторения. Когда вы сможете перевести диалоги на каждой карточке, переверните стопку карточек и попробуйте перевести русские диалоги на английский язык! Размер одной карточки - 6,7 х 4,2 см.","4 700 тг","5","Айрис","2019 г.","9785811247943","1000","Прочий","155 мм x 75 мм","315 г.","http://www.bookcity.kz/content/images/thumbs/5005040_1325571.jpeg"
"500 самых важных слов финского языка. Начальный уровень","Неизвестно","В справочнике представлены 500 самых важных слов финского языка, включающие географические названия, напитки, покупки, транспорт, туризм и многие другие.","300 тг","0","АСТ","2007 г.","9785170463473","32","Мягкий","165 мм x 120 мм","23 г.","http://www.bookcity.kz/content/images/thumbs/5020345_1341427.jpeg"
"52 NATIONAL GEOGRAPHIC CARDS","Неизвестно","Неизвестно","2 400 тг","2","9781903413258","23 мм","Неизвестно","Неизвестно","Неизвестно","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5087168_1415788.jpeg"
"52 PARTY GAMES FOR ADULTS","Неизвестно","Неизвестно","2 900 тг","2","9781903413128","23 мм","Неизвестно","Неизвестно","Неизвестно","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5083020_1421945.jpeg"
"53 золотые английские формулы","Драгункин А.","Книга посвящена той социальной прослойке, которой В.И.Ленин дал известное хлесткое определение. Нынешняя ""продвинутая"" интеллигенция поражена геном предательства, трусости и безответственной болтовни, инстинктом тотального разрушения. На страницах книги в шутовском хороводе сплетается вереница узнаваемых персонажей: ""властители дум"" и ""премудрые пескари"", либералы и демократы, банкиры и депутаты, экстрасенсы и инженеры, политики и режиссеры, национал-патриоты и западники, журналисты и педерасты. Автор зло издевается над приметами нашего смутного времени, и его издевка часто на грани фола.    Книга рассчитана не только на интеллектуалов, но также придется по вкусу любителям ехидных ""разоблачений"" и соленого юмора.","2 200 тг","5","Рипол Классик","2010 г.","9785734502877","224","Твердый","20 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5120714_1453543.jpeg"
"A Bug's Life. Level 3","Неизвестно","A bug's life is difficult.Every day the ants have to find food. The grasshoppers come and take the food. They are tired but Flik has an idea they can fight the grasshoppers. But grasshoppers are bigger than ants! Can Flik find some friends to help them? Can they work together to fight the grasshoppers?","1 700 тг","4","Pearson Education Limited","2012 г.","9781408287330","24","Мягкий","235 мм x 185 мм","60 г.","http://www.bookcity.kz/content/images/thumbs/5091005_1429011.jpeg"
"A Clockwork Orange","Берджесс Э.","Энтони Бёрджесс - английский писатель, литературовед, композитор, переводчик и журналист. До конца 50-х годов занимался преподавательством, изучал теорию музыки и уделял мало времени писательству. Скандально-известный дебютный роман ""Заводной апельсин"" (1962) принёс автору мировую славу. Всплеск популярности ждал писателя и после экранизации произведения Стэнли Кубриком в 1971 г. Повествование романа разворачивается вокруг истории Алекса - подростка, главаря одной из молодёжных шаек Лондона 1962 года, находящего прелесть в убийствах, грабежах и насилии. Возможно ли его перерождение?","3 400 тг","2","Каро","2016 г.","9785990866553","256","Твердый","165 мм x 107 мм","240 г.","http://www.bookcity.kz/content/images/thumbs/5097024_1435040.jpeg"
"A Clockwork Orange","Берджесс Э.","Неизвестно","2 700 тг","3","Каро","2019 г.","9785992513714","Мягкий","15 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5129970_1462320.jpeg"
"A Dance With Dragons","Мартин Г.Р.","In the aftermath of a colossal battle, the future of the Seven Kingdoms hangs in the balance once again-beset by newly emerging threats from every direction. In the east, Daenerys Targaryen, the last scion of House Targaryen, rules with her three dragons as queen of a city built on dust and death. But Daenerys has three times three thousand enemies, and many have set out to find her. Yet, as they gather, one young man embarks upon his own quest for the queen, with an entirely different goal in mind. To the north lies the mammoth Wall of ice and stone-a structure only as strong as those guarding it. There, Jon Snow, 998th Lord Commander of the Night's Watch, will face his greatest challenge yet. For he has powerful foes not only within the Watch but also beyond, in the land of the creatures of ice. And from all corners, bitter conflicts soon reignite, intimate betrayals are perpetrated, and a grand cast of outlaws and priests, soldiers and skinchangers, nobles and...","8 800 тг","3","Harper Collins","2011 г.","9780006486114","1040","Мягкий","180 мм x 110 мм","640 г.","http://www.bookcity.kz/content/images/thumbs/5005929_1327456.jpeg"
"A DICTIONARY OF BRITISH AND AMERICAN EPITHETS","Ахметова С.Г.","Неизвестно","2 100 тг","2","Мектеп","2011 г.","9786012935899","Твердый","30 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5016001_1336451.jpeg"
"A Doll's House. Пьеса","Ibsen H.","Генрик Ибсен - легендарный норвежский драматург, поэт и публицист XIX века, создатель ""новой драмы"".""Кукольный дом"" - одно из самых известных пьес Ибсена в мировой драматургии. Обычная квартира, в которой проживает, на первый взгляд, обычная семья, оказывается кукольным домом. Но, если есть куклы, значит, должен быть и кукловод? Кто он? Мужчина или Женщина?Читайте зарубежную литературу в оригинале!","5 000 тг","2","Т8 RUGRAM","2017 г.","9785521057412","298","Твердый","215 мм x 145 мм","490 г.","http://www.bookcity.kz/content/images/thumbs/5133363_1445396.jpeg"
"A Little Princess = Маленькая Принцесса: на англ.яз","Burnett F.H.","Сара Кру, дочь офицера, узнает о разорении и гибели отца. Прекрасная комната и красивые платья остаются в прошлом, а обноски и холодный чердак заполняют её настоящее. Но, несмотря ни на что, добрая и общительная девочка и в самые тяжелые времена продолжает быть той же маленькой принцессой, какой её знал и любил отец. И если судьба вновь улыбнется Саре, она не забудет о тех, кто поддерживал ее в трудную минуту... Читайте зарубежную литературу в оригинале!","3 500 тг","1","Т8 RUGRAM","2017 г.","9785521055265","166","Твердый","215 мм x 145 мм","335 г.","http://www.bookcity.kz/content/images/thumbs/5111842_1445397.jpeg"
"A Man and a Hare","Владимирова А.А.","В русской народной сказке речь идёт о бедном крестьянине, который мечтает разбогатеть, ничего не делая. Прочитав сказку, ребёнок познакомится с модальным глаголом сап, простым будущим временем (Future Simple) и условными предложениями (if), выучит числительные от 1 до 10 и познакомится с числительными от 11 до 20. Книга также содержит занимательные упражнения, словарь числительных и англо-русский словарь, в котором собраны все новые слова с транскрипцией. Издание адресовано учащимся 3-4 классов школ и гимназий.","700 тг","5","Айрис","2019 г.","9785811260195","16","Мягкий","4 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5074096_1413373.jpeg"
"A Portrait of the Artist as a Young Man","Joyce J.","Джеймс Джойс - не только один из самых известных классиков мировой литературы XIX-XX веков, но и ярчайший представитель модернизма, обладающий изысканным слогом. ""Портрет художника в юности"" - первый и отчасти автобиографический роман, в котором Джойс рисует яркий, но вместе с тем узнаваемый мир мальчика-подростка.В праздники все дети должны быть счастливы, но, несмотря, на блеск огней и уютную обстановку, главный герой не может понять, что же творится вокруг него, и он начинает рисовать свой собственный мир…Читайте зарубежную литературу в оригинале!","4 100 тг","2","Т8 RUGRAM","2017 г.","9785521053964","190","Твердый","215 мм x 145 мм","360 г.","http://www.bookcity.kz/content/images/thumbs/5133364_1445400.jpeg"
"A Set of Six = Набор из шести: на англ.яз","Conrad J.","Книга «Шесть повестей» - результат трёхлетней работы одного из самых известных классиков английской литературы - писателя Джозефа Конрада. В этот сборник вошли отдельные произведения автора, среди которых «Зверюга», «Граф», «Дуэль» и многие другие. Прекрасный стиль изложения, незабываемые образы и истории произведут впечатление на каждого вдумчивого читателя.","3 400 тг","0","Т8 RUGRAM","2017 г.","9785521051595","Твердый","Неизвестно","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5111846_1445401.jpeg"
"A Son of the Sun = Сын Солнца: на англ.яз","London J.","Джек Лондон - классик американской литературы, автор ярких, живых приключенческих романов и рассказов.В сборнике ""Сын Солнца"" представлены известные рассказы Джека Лондона, объединённые темой человеческой жажды наживы лёгкий путём. Эти произведения написаны простым слогом, но вместе с тем метафоричны, поучительны и наполнены глубоким смыслом. В сборник вошли такие рассказы как ""Перья Солнца"", ""Шутники с Нью-Гиббона"", ""Дьяволы на Фуатино"" и многие другие.Читайте зарубежную литературу в оригинале!","3 800 тг","5","Т8 RUGRAM","2017 г.","9785521053599","Твердый","220 мм x 160 мм","15 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5111847_1445402.jpeg"
"A Tale of Two Cities","Dickens C.","A Tale of Two Cities (1859) is set in London and Paris before and during the French Revolution. The novel depicts the plight of the French peasantry demoralized by the French aristocracy in the years leading up to the revolution, the corresponding brutality demonstrated by the revolutionaries toward the former aristocrats, and many unflattering social parallels with life in London during the same period.","5 400 тг","2","Пальмира","2017 г.","9785521001897","408","Мягкий","215 мм x 145 мм","460 г.","http://www.bookcity.kz/content/images/thumbs/5133618_1435374.jpeg"
"A TALE OF TWO CITIES  READER","Charles Dickens","Неизвестно","3 600 тг","2","Express publishing","2016 г.","9781845588090","Мягкий","8 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5127608_1460103.jpeg"
"A Widow's Story","Оутс Д.К.","'My husband died, my life collapsed.' On a February morning in 2008, Joyce Carol Oates drove her ailing husband, Raymond Smith, to the emergency room of the Princeton Medical Center where he was diagnosed with pneumonia. Both Joyce and Ray expected him to be released in a day or two. But in less than a week, even as Joyce was preparing for his discharge, Ray was dead from a hospital-acquired virulent infection, and Joyce was suddenly faced -- totally unprepared -- with the reality of widowhood. 'A Widow's Story' illuminates one woman's struggle to comprehend a life absent of the partnership that had sustained and defined her for nearly half a century. Joyce Carol Oates shares the derangement of denial, the anguish of loss, the disorientation of the survivor amid a nightmare of 'death duties', and the solace of friendship. She writes unflinchingly of the experience of grief -- the almost unbearable suspense of the hospital vigil, the treacherous 'pools' of memory that surround us, the vocabulary of illness, the absurdities of commercialized forms of mourning. Enlivened by the piercing vision, acute perception and mordant humour that are the hallmarks of the work of Joyce Carol Oates, this is a extremely moving tale of life and death, love and grief.","4 000 тг","0","HarperCollins UK","9780007388172","26 мм","Неизвестно","Неизвестно","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5014318_1340184.jpeg"
